,0,1
0,Tenant du titre,Manchester City
1,Plus titré(s),Real Madrid (14)
2,Meilleur(s) buteur(s),Cristiano Ronaldo (141)
3,Meilleur(s) passeur(s),Cristiano Ronaldo (42)
4,Plus d'apparitions,Cristiano Ronaldo (187)
